Epochs,Optimizer,Activation_Function,Train_Loss,Train_Accuracy,Train_Precision,Train_Recall,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall
5,RMSprop,tanh,0.10162955911080297,0.9719841480255127,0.2500794529914856,0.9993650913238525,0.0066816058376515585,0.997592568397522,0.34690994024276733,1.0
5,RMSprop,softsign,0.10062017196212851,0.9736508131027222,0.25149354338645935,0.998968243598938,1.7004190087279616,0.7177777886390686,0.23344500362873077,0.942037045955658
6,RMSprop,selu,0.07985524179344966,0.9806349277496338,0.2633020877838135,0.9991269707679749,0.01816085404584808,0.994259238243103,0.39896565675735474,1.0
6,RMSprop,softmax,0.09697043988353904,0.9743650555610657,0.256762832403183,0.9988889098167419,0.3328338527025254,0.9196296334266663,0.2960392236709595,0.9951851963996887
10,RMSprop,selu,0.0476961934557732,0.9872221946716309,0.2759164571762085,0.9993650913238525,0.005945337383992053,0.9983333349227905,0.3877917528152466,1.0
9,RMSprop,relu,0.059763817914219024,0.9857142567634583,0.2653568983078003,0.9990476369857788,0.1763012901652107,0.9648148417472839,0.3276102542877197,1.0
9,RMSprop,softsign,0.0544103110707164,0.9853174686431885,0.27005061507225037,0.9994444251060486,0.1446247869859159,0.9638888835906982,0.34255266189575195,1.0
3,RMSprop,selu,0.1577645209856287,0.9580952525138855,0.24641373753547668,0.997936487197876,0.8358123803255795,0.8101851940155029,0.26090407371520996,0.9737036824226379
6,RMSprop,sigmoid,0.08548285985806225,0.9774603247642517,0.263315349817276,0.998968243598938,0.8998668209209831,0.8279629349708557,0.26931411027908325,0.9896296262741089
7,RMSprop,softsign,0.07175199240593343,0.9804762005805969,0.26238253712654114,0.9993650913238525,3.084349589049816,0.4470370411872864,0.28860726952552795,0.860370397567749
8,RMSprop,softsign,0.06317089671270619,0.983650803565979,0.2652691602706909,0.9992856979370117,0.28223827376740346,0.9451851844787598,0.32246288657188416,0.9979629516601562
9,RMSprop,tanh,0.06092660978953669,0.9844444394111633,0.2711944580078125,0.9995238184928894,0.0010838000472931399,0.9996296167373657,0.4847396910190582,1.0
6,RMSprop,tanh,0.08738853004116598,0.9764285683631897,0.2565680742263794,0.9990476369857788,1.658715705314858,0.6937037110328674,0.26829639077186584,0.9775925874710083
6,RMSprop,relu,0.07521813300358883,0.9796825647354126,0.25457412004470825,0.9993650913238525,0.013030397278336952,0.9974074363708496,0.3724394738674164,1.0
5,RMSprop,elu,0.08386266297533265,0.9776983857154846,0.2523510754108429,0.9988095164299011,0.004052655184972941,0.9988889098167419,0.34742870926856995,0.9996296167373657
7,RMSprop,relu,0.06229035811080567,0.9828571677207947,0.25993645191192627,0.9996825456619263,0.005853998614052595,0.9974074363708496,0.36402857303619385,1.0
10,RMSprop,elu,0.0528915127923418,0.9865872859954834,0.2702772319316864,0.9996825456619263,0.0071894129847626925,0.9983333349227905,0.4086265563964844,1.0
2,RMSprop,sigmoid,0.43802467259977546,0.8599206209182739,0.2321656346321106,0.9967460036277771,5.987792054812114,0.23018518090248108,0.14729678630828857,0.5731481313705444
2,RMSprop,tanh,0.31953730033377986,0.898809552192688,0.22713309526443481,0.9976190328598022,0.6100298891516609,0.8087037205696106,0.2598671615123749,0.9998148083686829
1,RMSprop,relu,1.3469207387683646,0.5424603223800659,0.1879327893257141,0.9089682698249817,0.9622348396314515,0.6812962889671326,0.2398054301738739,0.9768518805503845
3,RMSprop,relu,0.16991227542374482,0.9521428346633911,0.23910605907440186,0.9985714554786682,0.03165580071399745,0.9875925779342651,0.28282615542411804,1.0
1,RMSprop,tanh,1.369970244852205,0.5260317325592041,0.188324972987175,0.9058730006217957,2.20503267314699,0.39407408237457275,0.1849273145198822,0.8951851725578308
8,RMSprop,elu,0.07162531161937381,0.9820634722709656,0.2639005482196808,0.998968243598938,0.006772632413604798,0.9990741014480591,0.38362589478492737,0.9996296167373657
4,RMSprop,sigmoid,0.1281954411187187,0.9635714292526245,0.24980150163173676,0.9988095164299011,2.132294603685538,0.6372222304344177,0.2088182121515274,0.8972222208976746
4,RMSprop,relu,0.13181640631824154,0.96317458152771,0.24390527606010437,0.9988889098167419,0.04680047478616163,0.9824073910713196,0.29085618257522583,0.9996296167373657
4,RMSprop,tanh,0.12690225482233689,0.9639682769775391,0.24471187591552734,0.998968243598938,0.07257782819627513,0.9809259176254272,0.27629825472831726,0.9990741014480591
6,RMSprop,elu,0.07378317932877204,0.980555534362793,0.2566099166870117,0.9990476369857788,0.013972699206751019,0.997592568397522,0.3449817895889282,1.0
3,RMSprop,tanh,0.1559285990394918,0.9537301659584045,0.23622268438339233,0.9988095164299011,2.4200172012464867,0.6166666746139526,0.2539357542991638,0.8961111307144165
7,RMSprop,elu,0.06830754634326391,0.9813492298126221,0.2613883912563324,0.9996031522750854,0.009208480185476573,0.9979629516601562,0.3487245738506317,1.0
9,RMSprop,sigmoid,0.06094818722417369,0.9841269850730896,0.27481183409690857,0.9996825456619263,0.4756460055375404,0.8924074172973633,0.30054306983947754,0.9940740466117859
4,RMSprop,elu,0.1148647416450937,0.9695237874984741,0.24703088402748108,0.9987301826477051,0.007369846831195698,0.9979629516601562,0.27591845393180847,1.0
1,RMSprop,softsign,1.4880670191808825,0.498968243598938,0.1828140765428543,0.866190493106842,1.6994435590174464,0.4788888990879059,0.24051383137702942,0.9014815092086792
1,RMSprop,softmax,2.3251441694441297,0.2080952376127243,0.1337638944387436,0.660793662071228,4.554189648230871,0.17185185849666595,0.12715014815330505,0.4749999940395355
2,RMSprop,elu,0.2685567581771119,0.9200000166893005,0.23391661047935486,0.9973015785217285,0.031231481811199856,0.9914814829826355,0.25682488083839417,1.0
1,RMSprop,elu,1.162196195356193,0.6082539558410645,0.19879579544067383,0.9171428680419922,0.18200142109352682,0.9474074244499207,0.2511538863182068,0.997592568397522
8,RMSprop,sigmoid,0.0715938415603194,0.9820634722709656,0.2691124379634857,0.9996031522750854,3.4265851599849864,0.5461111068725586,0.2566908597946167,0.7992592453956604
1,RMSprop,selu,1.1835115279558868,0.6066666841506958,0.19837573170661926,0.9092063307762146,0.4348712916330745,0.8433333039283752,0.2391960173845291,0.9983333349227905
7,RMSprop,softmax,0.09428867089009145,0.9746031761169434,0.26304683089256287,0.9992856979370117,0.0749076839375852,0.9835185408592224,0.31409958004951477,1.0
1,RMSprop,sigmoid,1.6281241454893634,0.44857141375541687,0.17891071736812592,0.8564285635948181,5.212019870678584,0.2070370316505432,0.12949639558792114,0.5733333230018616
10,RMSprop,tanh,0.05092845392010921,0.9867460131645203,0.2719910144805908,0.9995238184928894,0.002599403993422832,0.9996296167373657,0.4588325321674347,1.0
10,RMSprop,sigmoid,0.05857445657800868,0.9847618937492371,0.27690547704696655,0.9993650913238525,0.7016017535494433,0.8655555844306946,0.33029264211654663,0.9990741014480591
2,RMSprop,softmax,0.6552900779238414,0.7748412489891052,0.22061674296855927,0.9936507940292358,4.530481219953961,0.23796296119689941,0.13763080537319183,0.5942592620849609
5,RMSprop,selu,0.09958021204268637,0.9751587510108948,0.25862637162208557,0.9981746077537537,0.0024081802791405,0.9992592334747314,0.3439490497112274,1.0
6,RMSprop,softsign,0.08001427685012459,0.977222204208374,0.256917804479599,0.9992063641548157,0.037621332236555345,0.989814817905426,0.37770161032676697,1.0
8,RMSprop,softmax,0.08483798051243606,0.9784126877784729,0.2661970853805542,0.9988095164299011,0.2438815969972135,0.949999988079071,0.32674291729927063,0.9946296215057373
8,RMSprop,selu,0.05366702639638615,0.9873015880584717,0.2711101472377777,0.9991269707679749,0.0005326752071627854,0.9998148083686829,0.38587966561317444,1.0
7,RMSprop,tanh,0.06900963864228245,0.9808729887008667,0.2625119686126709,0.9999206066131592,0.024156438926705607,0.993148148059845,0.3669974207878113,1.0
4,RMSprop,softmax,0.1642952540772967,0.9542063474655151,0.23996642231941223,0.9984126687049866,3.306991158094671,0.4640740752220154,0.2015811949968338,0.8735185265541077
7,RMSprop,sigmoid,0.06220911490203261,0.9829365015029907,0.2683908939361572,0.9998412728309631,0.028941447892645064,0.993148148059845,0.3867201507091522,0.9998148083686829
4,RMSprop,softsign,0.1229225467207947,0.9636508226394653,0.2448693811893463,0.9990476369857788,0.013935526274265916,0.9948148131370544,0.2962150275707245,1.0
9,RMSprop,softmax,0.08644605581671169,0.9767460227012634,0.26815083622932434,0.998968243598938,3.9396885765923395,0.4485185146331787,0.26982513070106506,0.7857407331466675
10,RMSprop,relu,0.0366590198603717,0.9898412823677063,0.27113646268844604,0.9997618794441223,0.0014122339847607258,0.9996296167373657,0.4444078803062439,1.0
10,RMSprop,softsign,0.06137672790888419,0.9852380752563477,0.2738322913646698,0.9994444251060486,0.0034778652240806253,0.9992592334747314,0.370548278093338,1.0
3,RMSprop,sigmoid,0.2077560612898586,0.9419841170310974,0.24415962398052216,0.9978571534156799,0.5588994894914019,0.8538888692855835,0.27620476484298706,0.9881481528282166
2,RMSprop,relu,0.3189065851315501,0.9007936716079712,0.22867800295352936,0.9973809719085693,0.15532103404208708,0.9538888931274414,0.27993568778038025,0.9996296167373657
2,RMSprop,softsign,0.28901122046434985,0.9084920883178711,0.23324555158615112,0.9982539415359497,0.6373244422591395,0.7981481552124023,0.22192269563674927,0.9909259080886841
5,RMSprop,sigmoid,0.1023485447627276,0.971746027469635,0.2557794749736786,0.9992856979370117,0.01516736327560011,0.995555579662323,0.33185839653015137,1.0
7,RMSprop,selu,0.06419846319798429,0.9825396537780762,0.26737865805625916,0.9994444251060486,0.005469769511466262,0.9990741014480591,0.42603549361228943,1.0
5,RMSprop,relu,0.08912986839866444,0.9755555391311646,0.24959854781627655,0.9992063641548157,0.004027807528041194,0.9992592334747314,0.3625621199607849,1.0
2,RMSprop,selu,0.2711666875186243,0.9168254137039185,0.23879262804985046,0.9964285492897034,0.06751381962959487,0.9768518805503845,0.2780839502811432,0.9998148083686829
8,RMSprop,relu,0.06664668868386452,0.9826984405517578,0.2618696093559265,0.9993650913238525,0.008025548852884236,0.9983333349227905,0.4033462703227997,1.0
9,RMSprop,selu,0.05635798591582508,0.9874603152275085,0.2735471725463867,0.998968243598938,0.002532293773755612,0.9988889098167419,0.43999022245407104,1.0
3,RMSprop,softsign,0.15480086932518697,0.9546031951904297,0.23962993919849396,0.9990476369857788,0.38479030354776317,0.890925943851471,0.2882063388824463,0.9974074363708496
8,RMSprop,tanh,0.06307160385877934,0.9840475916862488,0.2666567862033844,0.9992856979370117,0.026748775971855012,0.9953703880310059,0.41083383560180664,1.0
4,RMSprop,selu,0.09721304828202673,0.9736508131027222,0.2533950209617615,0.9996031522750854,0.010515695765368744,0.9968518614768982,0.31805866956710815,1.0
3,RMSprop,softmax,0.23436933138374505,0.9316666722297668,0.23080453276634216,0.997936487197876,3.342705622315407,0.4059259295463562,0.17060920596122742,0.8240740895271301
5,RMSprop,softmax,0.11034376012428852,0.970714271068573,0.24927209317684174,0.9988095164299011,6.8605627192391285,0.1603703647851944,0.10986587405204773,0.4520370364189148
10,RMSprop,softmax,0.07196754496402545,0.9811905026435852,0.2723555266857147,0.9990476369857788,0.039208916564383696,0.9892592430114746,0.33007335662841797,1.0
9,RMSprop,elu,0.052282600455553274,0.9866666793823242,0.26698195934295654,0.9991269707679749,0.06612905676723008,0.9866666793823242,0.42188355326652527,0.9996296167373657
3,RMSprop,elu,0.1523343214296758,0.9568253755569458,0.240465447306633,0.9988095164299011,0.29009449528679804,0.9083333611488342,0.273917019367218,1.0
